dataset,method,budget_point,paper,reproduced,delta,abs_delta
cancer,DR,1,0.8,0.8945867659646702,0.0945867659646702,0.0945867659646702
cancer,DA,1,0.9375,0.9490241493644336,0.011524149364433578,0.011524149364433578
cancer,CR,1,0.8989,0.9103110216837552,0.011411021683755185,0.011411021683755185
cancer,CA,1,0.9592,0.9490241493644336,-0.010175850635566475,0.010175850635566475
cancer,DMCO,1,0.9592,0.9564024348956572,-0.002797565104342814,0.002797565104342814
cancer,DR,2,0.8,0.8945867659646702,0.0945867659646702,0.0945867659646702
cancer,DA,2,0.9474,0.9490241493644336,0.001624149364433558,0.001624149364433558
cancer,CR,2,0.8539,0.918599090670408,0.06469909067040802,0.06469909067040802
cancer,CA,2,0.9495,0.963743798780295,0.014243798780295025,0.014243798780295025
cancer,DMCO,2,0.9691,0.9564024348956572,-0.012697565104342723,0.012697565104342723
cancer,DR,3,0.8,0.8945867659646702,0.0945867659646702,0.0945867659646702
cancer,DA,3,0.9247,0.9490241493644336,0.02432414936443361,0.02432414936443361
cancer,CR,3,0.8791,0.9114671428222682,0.03236714282226816,0.03236714282226816
cancer,CA,3,0.9495,0.963743798780295,0.014243798780295025,0.014243798780295025
cancer,DMCO,3,0.9592,0.955981777708754,-0.00321822229124602,0.00321822229124602
cancer,DR,4,0.8,0.8945867659646702,0.0945867659646702,0.0945867659646702
cancer,DA,4,0.9362,0.9490241493644336,0.012824149364433546,0.012824149364433546
cancer,CR,4,0.8889,0.918599090670408,0.02969909067040799,0.02969909067040799
cancer,CA,4,0.9495,0.963743798780295,0.014243798780295025,0.014243798780295025
cancer,DMCO,4,0.9495,0.9266362961812566,-0.022863703818743364,0.022863703818743364
cancer,DR,5,0.8,0.8945867659646702,0.0945867659646702,0.0945867659646702
cancer,DA,5,0.9474,0.9490241493644336,0.001624149364433558,0.001624149364433558
cancer,CR,5,0.8539,0.9262226190185568,0.07232261901855686,0.07232261901855686
cancer,CA,5,0.9495,0.963743798780295,0.014243798780295025,0.014243798780295025
cancer,DMCO,5,0.9592,0.9266362961812566,-0.032563703818743406,0.032563703818743406
cancer,DR,6,0.8,0.8945867659646702,0.0945867659646702,0.0945867659646702
cancer,DA,6,0.9362,0.9490241493644336,0.012824149364433546,0.012824149364433546
cancer,CR,6,0.9011,0.9490241493644336,0.047924149364433566,0.047924149364433566
cancer,CA,6,0.9495,0.963743798780295,0.014243798780295025,0.014243798780295025
cancer,DMCO,6,0.9495,0.9266362961812566,-0.022863703818743364,0.022863703818743364
cancer,DR,7,0.7692,0.8945867659646702,0.12538676596467024,0.12538676596467024
cancer,DA,7,0.9362,0.9490241493644336,0.012824149364433546,0.012824149364433546
cancer,CR,7,0.9247,0.9416058394160584,0.016905839416058388,0.016905839416058388
cancer,CA,7,0.9495,0.963743798780295,0.014243798780295025,0.014243798780295025
cancer,DMCO,7,0.9592,0.9266362961812566,-0.032563703818743406,0.032563703818743406
cancer,DR,8,0.8,0.8945867659646702,0.0945867659646702,0.0945867659646702
cancer,DA,8,0.9474,0.9490241493644336,0.001624149364433558,0.001624149364433558
cancer,CR,8,0.9011,0.9564024348956572,0.055302434895657226,0.055302434895657226
cancer,CA,8,0.9495,0.963743798780295,0.014243798780295025,0.014243798780295025
cancer,DMCO,8,0.9592,0.9266362961812566,-0.032563703818743406,0.032563703818743406
cancer,DR,9,0.8,0.8945867659646702,0.0945867659646702,0.0945867659646702
cancer,DA,9,0.9474,0.9490241493644336,0.001624149364433558,0.001624149364433558
cancer,CR,9,0.9592,0.9564024348956572,-0.002797565104342814,0.002797565104342814
cancer,CA,9,0.9592,0.963743798780295,0.004543798780294983,0.004543798780294983
cancer,DMCO,9,0.9495,0.9266362961812566,-0.022863703818743364,0.022863703818743364
cancer,DR,10,0.8,0.8945867659646702,0.0945867659646702,0.0945867659646702
cancer,DA,10,0.9474,0.9490241493644336,0.001624149364433558,0.001624149364433558
cancer,CR,10,0.9592,0.9564024348956572,-0.002797565104342814,0.002797565104342814
cancer,CA,10,0.9495,0.963743798780295,0.014243798780295025,0.014243798780295025
cancer,DMCO,10,0.9592,0.9266362961812566,-0.032563703818743406,0.032563703818743406
